48.4	28	27804	26601
89		27	28115	26565
139		17	27563	26802
208		26	27511	26574
223		25	27888	26785
426		50	27821	26643
669		55	27901	26786
865		57	27462	26856
1005	83	27575	26925
1095	95	27564	26792
2030	180	27769	26651
3300	269	27572	26628
4300	342	27654	27029
5640	457	27698	26772
