0.00000	0.9725	0.00009	0.0213
-0.08682	0.9429	0.00684	0.0208
-0.17101	0.7965	0.01348	0.0183
-0.25000	0.6986	0.01970	0.0167
-0.32139	0.5962	0.02533	0.0149
-0.38302	0.5257	0.03018	0.0113
-0.43301	0.4725	0.03412	0.0104
-0.46985	0.4336	0.03702	0.0098
-0.49240	0.4089	0.03880	0.0093
-0.50000	0.4214	0.03940	0.0096
-0.49240	0.4319	0.03880	0.0097
-0.46985	0.4673	0.03702	0.0103
-0.43301	0.5245	0.03412	0.0113
-0.38302	0.5970	0.03018	0.0125
-0.32139	0.6884	0.02533	0.0165
-0.25000	0.7816	0.01970	0.0181
-0.17101	0.9165	0.01348	0.0204
-0.08682	0.9694	0.00684	0.0212
0.00000	1.0000	0.00009	0.0218
0.08682	0.9291	0.00684	0.0206
0.17101	0.8726	0.01348	0.0196
0.25000	0.7785	0.01970	0.0180
0.32139	0.7012	0.02533	0.0167
0.38302	0.5891	0.03018	0.0148
0.43301	0.5450	0.03412	0.0116
0.46985	0.4986	0.03702	0.0109
0.49240	0.4645	0.03880	0.0103
0.50000	0.4824	0.03940	0.0106
0.49240	0.4937	0.03880	0.0108
0.46985	0.5497	0.03702	0.0117
0.43301	0.6091	0.03412	0.0127
0.38302	0.7123	0.03018	0.0169
0.32139	0.7588	0.02533	0.0177
0.25000	0.8788	0.01970	0.0197
0.17101	0.9581	0.01348	0.0211
0.08682	0.9723	0.00684	0.0213
0.00000	0.9749	0.00017	0.0233
-0.17365	0.8353	0.00684	0.0207
-0.34202	0.6101	0.01348	0.0164
-0.50000	0.3763	0.01970	0.0096
-0.64279	0.1973	0.02533	0.0053
-0.76604	0.0836	0.03018	0.0022
-0.86603	0.0334	0.03412	0.0017
-0.93969	0.0137	0.03702	0.0011
-0.98481	0.0072	0.03880	0.0008
-1.00000	0.0092	0.03940	0.0009
-0.98481	0.0102	0.03880	0.0009
-0.93969	0.0143	0.03702	0.0011
-0.86603	0.0523	0.03412	0.0023
-0.76604	0.1365	0.03018	0.0032
-0.64279	0.2745	0.02533	0.0068
-0.50000	0.4870	0.01970	0.0117
-0.34202	0.7191	0.01348	0.0185
-0.17365	0.9181	0.00684	0.0223
0.00000	1.0000	0.00017	0.0238
0.17365	0.9418	0.00684	0.0227
0.34202	0.7379	0.01348	0.0189
0.50000	0.4915	0.01970	0.0141
0.64279	0.2879	0.02533	0.0071
0.76604	0.1403	0.03018	0.0035
0.86603	0.0686	0.03412	0.0027
0.93969	0.0262	0.03702	0.0015
0.98481	0.0140	0.03880	0.0011
1.00000	0.0131	0.03940	0.0011
0.98481	0.0128	0.03880	0.0010
0.93969	0.0260	0.03702	0.0015
0.86603	0.0726	0.03412	0.0028
0.76604	0.1643	0.03018	0.0039
0.64279	0.3082	0.02533	0.0075
0.50000	0.5197	0.01970	0.0123
0.34202	0.7442	0.01348	0.0190
0.17365	0.9686	0.00684	0.0232
0.00000	0.9978	0.00026	0.0255
-0.26047	0.8535	0.00685	0.0225
-0.51303	0.4484	0.01348	0.0117
-0.75000	0.1163	0.01970	0.0040
-0.96418	0.0106	0.02533	0.0010
-1.14907	0.0082	0.03018	0.0009
-1.29904	0.0069	0.03412	0.0008
-1.40954	0.0075	0.03702	0.0008
-1.47721	0.0068	0.03880	0.0008
-1.50000	0.0063	0.03940	0.0008
-1.47721	0.0080	0.03880	0.0009
-1.40954	0.0069	0.03702	0.0008
-1.29904	0.0082	0.03412	0.0009
-1.14907	0.0083	0.03018	0.0009
-0.96418	0.0130	0.02533	0.0011
-0.75000	0.1573	0.01970	0.0041
-0.51303	0.4811	0.01348	0.0124
-0.26047	0.9019	0.00685	0.0235
0.00000	1.0000	0.00026	0.0255
0.26047	0.9372	0.00685	0.0242
0.51303	0.5852	0.01348	0.0144
0.75000	0.2243	0.01970	0.0059
0.96418	0.0284	0.02533	0.0017
1.14907	0.0079	0.03018	0.0009
1.29904	0.0071	0.03412	0.0008
1.40954	0.0066	0.03702	0.0008
1.47721	0.0066	0.03880	0.0008
1.50000	0.0056	0.03940	0.0007
1.47721	0.0060	0.03880	0.0008
1.40954	0.0061	0.03702	0.0008
1.29904	0.0088	0.03412	0.0009
1.14907	0.0065	0.03018	0.0008
0.96418	0.0195	0.02533	0.0014
0.75000	0.1906	0.01970	0.0056
0.51303	0.5013	0.01348	0.0128
0.26047	0.8885	0.00685	0.0233
0.00000	1.0000	0.00035	0.0301
-0.34730	0.7923	0.00685	0.0249
-0.68404	0.4404	0.01348	0.0135
-1.00000	0.0112	0.01970	0.0019
-1.28558	0.0094	0.02533	0.0017
-1.53209	0.0069	0.03018	0.0015
-1.73205	0.0050	0.03412	0.0013
-1.87939	0.0053	0.03702	0.0013
-1.96962	0.0050	0.03880	0.0013
-2.00000	0.0053	0.03940	0.0013
-1.96962	0.0053	0.03880	0.0013
-1.87939	0.0050	0.03702	0.0013
-1.73205	0.0056	0.03412	0.0013
-1.53209	0.0087	0.03018	0.0017
-1.28558	0.0078	0.02533	0.0016
-1.00000	0.0131	0.01970	0.0020
-0.68404	0.2608	0.01348	0.0082
-0.34730	0.7539	0.00685	0.0239
0.00000	0.9676	0.00035	0.0292
0.34730	0.8805	0.00685	0.0271
0.68404	0.3971	0.01348	0.0125
1.00000	0.0359	0.01970	0.0035
1.28558	0.0075	0.02533	0.0015
1.53209	0.0097	0.03018	0.0018
1.73205	0.0050	0.03412	0.0013
1.87939	0.0053	0.03702	0.0013
1.96962	0.0059	0.03880	0.0014
2.00000	0.0053	0.03940	0.0013
1.96962	0.0059	0.03880	0.0014
1.87939	0.0053	0.03702	0.0013
1.73205	0.0062	0.03412	0.0014
1.53209	0.0087	0.03018	0.0017
1.28558	0.0087	0.02533	0.0017
1.00000	0.0303	0.01970	0.0032
0.68404	0.3904	0.01348	0.0123
0.34730	0.8575	0.00685	0.0265
