0.000	0.500	439.100
-0.087	0.492	425.700
-0.171	0.470	359.600
-0.250	0.433	315.400
-0.321	0.383	269.200
-0.383	0.321	237.350
-0.433	0.250	213.350
-0.470	0.171	195.750
-0.492	0.087	184.600
-0.500	0.000	190.250
-0.492	-0.087	195.000
-0.470	-0.171	211.000
-0.433	-0.250	236.800
-0.383	-0.321	269.550
-0.321	-0.383	310.800
-0.250	-0.433	352.900
-0.171	-0.470	413.800
-0.087	-0.492	437.700
0.000	-0.500	451.500
0.087	-0.492	419.500
0.171	-0.470	394.000
0.250	-0.433	351.500
0.321	-0.383	316.600
0.383	-0.321	266.000
0.433	-0.250	246.050
0.470	-0.171	225.100
0.492	-0.087	209.700
0.500	0.000	217.800
0.492	0.087	222.900
0.470	0.171	248.200
0.433	0.250	275.000
0.383	0.321	321.600
0.321	0.383	342.600
0.250	0.433	396.800
0.171	0.470	432.600
0.087	0.492	439.000
0.000	1.000	403.600
-0.174	0.985	345.800
-0.342	0.940	252.600
-0.500	0.866	155.800
-0.643	0.766	81.667
-0.766	0.643	34.625
-0.866	0.500	13.833
-0.940	0.342	5.667
-0.985	0.174	3.000
-1.000	0.000	3.800
-0.985	-0.174	4.233
-0.940	-0.342	5.933
-0.866	-0.500	21.667
-0.766	-0.643	56.513
-0.643	-0.766	113.633
-0.500	-0.866	201.600
-0.342	-0.940	297.700
-0.174	-0.985	380.100
0.000	-1.000	414.000
0.174	-0.985	389.900
0.342	-0.940	305.500
0.500	-0.866	203.500
0.643	-0.766	119.200
0.766	-0.643	58.100
0.866	-0.500	28.400
0.940	-0.342	10.867
0.985	-0.174	5.800
1.000	0.000	5.433
0.985	0.174	5.300
0.940	0.342	10.767
0.866	0.500	30.067
0.766	0.643	68.033
0.643	0.766	127.600
0.500	0.866	215.150
0.342	0.940	308.100
0.174	0.985	401.000
0.000	1.500	358.900
-0.260	1.477	307.000
-0.513	1.410	161.300
-0.750	1.299	41.833
-0.964	1.149	3.800
-1.149	0.964	2.933
-1.299	0.750	2.467
-1.410	0.513	2.700
-1.477	0.260	2.433
-1.500	0.000	2.267
-1.477	-0.260	2.867
-1.410	-0.513	2.467
-1.299	-0.750	2.933
-1.149	-0.964	3.000
-0.964	-1.149	4.667
-0.750	-1.299	56.583
-0.513	-1.410	173.050
-0.260	-1.477	324.400
0.000	-1.500	359.700
0.260	-1.477	337.100
0.513	-1.410	210.500
0.750	-1.299	80.675
0.964	-1.149	10.233
1.149	-0.964	2.833
1.299	-0.750	2.567
1.410	-0.513	2.367
1.477	-0.260	2.367
1.500	0.000	2.000
1.477	0.260	2.167
1.410	0.513	2.200
1.299	0.750	3.167
1.149	0.964	2.333
0.964	1.149	7.000
0.750	1.299	68.567
0.513	1.410	180.300
0.260	1.477	319.600
0.000	2.000	320.600
-0.347	1.970	254.000
-0.684	1.879	141.200
-1.000	1.732	3.600
-1.286	1.532	3.000
-1.532	1.286	2.200
-1.732	1.000	1.600
-1.879	0.684	1.700
-1.970	0.347	1.600
-2.000	0.000	1.700
-1.970	-0.347	1.700
-1.879	-0.684	1.600
-1.732	-1.000	1.800
-1.532	-1.286	2.800
-1.286	-1.532	2.500
-1.000	-1.732	4.200
-0.684	-1.879	83.600
-0.347	-1.970	241.700
0.000	-2.000	310.200
0.347	-1.970	282.300
0.684	-1.879	127.300
1.000	-1.732	11.500
1.286	-1.532	2.400
1.532	-1.286	3.100
1.732	-1.000	1.600
1.879	-0.684	1.700
1.970	-0.347	1.900
2.000	0.000	1.700
1.970	0.347	1.900
1.879	0.684	1.700
1.732	1.000	2.000
1.532	1.286	2.800
1.286	1.532	2.800
1.000	1.732	9.700
0.684	1.879	125.150
0.347	1.970	274.900
