0.000	439.100	0.000	6.626
-0.087	425.700	0.007	6.525
-0.171	359.600	0.013	5.997
-0.250	315.400	0.020	5.616
-0.321	269.200	0.025	5.188
-0.383	237.350	0.030	3.445
-0.433	213.350	0.034	3.266
-0.470	195.750	0.037	3.128
-0.492	184.600	0.039	3.038
-0.500	190.250	0.039	3.084
-0.492	195.000	0.039	3.122
-0.470	211.000	0.037	3.248
-0.433	236.800	0.034	3.441
-0.383	269.550	0.030	3.671
-0.321	310.800	0.025	5.575
-0.250	352.900	0.020	5.941
-0.171	413.800	0.013	6.433
-0.087	437.700	0.007	6.616
0.000	451.500	0.000	6.719
0.087	419.500	0.007	6.477
0.171	394.000	0.013	6.277
0.250	351.500	0.020	5.929
0.321	316.600	0.025	5.627
0.383	266.000	0.030	5.158
0.433	246.050	0.034	3.507
0.470	225.100	0.037	3.355
0.492	209.700	0.039	3.238
0.500	217.800	0.039	3.300
0.492	222.900	0.039	3.338
0.470	248.200	0.037	3.523
0.433	275.000	0.034	3.708
0.383	321.600	0.030	5.671
0.321	342.600	0.025	5.853
0.250	396.800	0.020	6.299
0.171	432.600	0.013	6.577
0.087	439.000	0.007	6.626
0.0000	403.6000	0.0002	6.3530
-0.1736	345.8000	0.0068	5.8805
-0.3420	252.6000	0.0135	5.0259
-0.5000	155.8000	0.0197	2.7911
-0.6428	81.6667	0.0253	1.6499
-0.7660	34.6250	0.0302	0.6579
-0.8660	13.8333	0.0341	0.6791
-0.9397	5.6667	0.0370	0.4346
-0.9848	3.0000	0.0388	0.3162
-1.0000	3.8000	0.0394	0.3559
-0.9848	4.2333	0.0388	0.3756
-0.9397	5.9333	0.0370	0.4447
-0.8660	21.6667	0.0341	0.8498
-0.7660	56.5125	0.0302	0.8405
-0.6428	113.6333	0.0253	1.9462
-0.5000	201.6000	0.0197	3.1749
-0.3420	297.7000	0.0135	5.4562
-0.1736	380.1000	0.0068	6.1652
0.0000	414.0000	0.0002	6.4343
0.1736	389.9000	0.0068	6.2442
0.3420	305.5000	0.0135	5.5272
0.5000	203.5000	0.0197	4.5111
0.6428	119.2000	0.0253	1.9933
0.7660	58.1000	0.0302	0.9840
0.8660	28.4000	0.0341	0.9730
0.9397	10.8667	0.0370	0.6018
0.9848	5.8000	0.0388	0.4397
1.0000	5.4333	0.0394	0.4256
0.9848	5.3000	0.0388	0.4203
0.9397	10.7667	0.0370	0.5991
0.8660	30.0667	0.0341	1.0011
0.7660	68.0333	0.0302	1.0648
0.6428	127.6000	0.0253	2.0624
0.5000	215.1500	0.0197	3.2799
0.3420	308.1000	0.0135	5.5507
0.1736	401.0000	0.0068	6.3325
0.0000	358.9000	0.0003	5.9908
-0.2605	307.0000	0.0068	5.5408
-0.5130	161.3000	0.0135	2.8399
-0.7500	41.8333	0.0197	1.1809
-0.9642	3.8000	0.0253	0.3559
-1.1491	2.9333	0.0302	0.3127
-1.2990	2.4667	0.0341	0.2867
-1.4095	2.7000	0.0370	0.3000
-1.4772	2.4333	0.0388	0.2848
-1.5000	2.2667	0.0394	0.2749
-1.4772	2.8667	0.0388	0.3091
-1.4095	2.4667	0.0370	0.2867
-1.2990	2.9333	0.0341	0.3127
-1.1491	3.0000	0.0302	0.3162
-0.9642	4.6667	0.0253	0.3944
-0.7500	56.5833	0.0197	0.9711
-0.5130	173.0500	0.0135	2.9415
-0.2605	324.4000	0.0068	5.6956
0.0000	359.7000	0.0003	5.9975
0.2605	337.1000	0.0068	5.8060
0.5130	210.5000	0.0135	3.2442
0.7500	80.6750	0.0197	1.4202
0.9642	10.2333	0.0253	0.5840
1.1491	2.8333	0.0302	0.3073
1.2990	2.5667	0.0341	0.2925
1.4095	2.3667	0.0370	0.2809
1.4772	2.3667	0.0388	0.2809
1.5000	2.0000	0.0394	0.2582
1.4772	2.1667	0.0388	0.2687
1.4095	2.2000	0.0370	0.2708
1.2990	3.1667	0.0341	0.3249
1.1491	2.3333	0.0302	0.2789
0.9642	7.0000	0.0253	0.4830
0.7500	68.5667	0.0197	1.5118
0.5130	180.3000	0.0135	3.0025
0.2605	319.6000	0.0068	5.6533
0.0000	320.6000	0.0003	5.6622
-0.3473	254.0000	0.0069	5.0398
-0.6840	141.2000	0.0135	2.6571
-1.0000	3.6000	0.0197	0.6000
-1.2856	3.0000	0.0253	0.5477
-1.5321	2.2000	0.0302	0.4690
-1.7321	1.6000	0.0341	0.4000
-1.8794	1.7000	0.0370	0.4123
-1.9696	1.6000	0.0388	0.4000
-2.0000	1.7000	0.0394	0.4123
-1.9696	1.7000	0.0388	0.4123
-1.8794	1.6000	0.0370	0.4000
-1.7321	1.8000	0.0341	0.4243
-1.5321	2.8000	0.0302	0.5292
-1.2856	2.5000	0.0253	0.5000
-1.0000	4.2000	0.0197	0.6481
-0.6840	83.6000	0.0135	1.6693
-0.3473	241.7000	0.0069	4.9163
0.0000	310.2000	0.0003	5.5696
0.3473	282.3000	0.0069	5.3132
0.6840	127.3000	0.0135	2.5229
1.0000	11.5000	0.0197	1.0724
1.2856	2.4000	0.0253	0.4899
1.5321	3.1000	0.0302	0.5568
1.7321	1.6000	0.0341	0.4000
1.8794	1.7000	0.0370	0.4123
1.9696	1.9000	0.0388	0.4359
2.0000	1.7000	0.0394	0.4123
1.9696	1.9000	0.0388	0.4359
1.8794	1.7000	0.0370	0.4123
1.7321	2.0000	0.0341	0.4472
1.5321	2.8000	0.0302	0.5292
1.2856	2.8000	0.0253	0.5292
1.0000	9.7000	0.0197	0.9849
0.6840	125.1500	0.0135	2.5015
0.3473	274.9000	0.0069	5.2431
